Date,SWE min [mm],SWE max [mm],SWE mean [mm]
2000-01-16,-1.0,2.0,0.708
2000-01-17,0.0,1.0,0.875
2000-01-18,0.0,1.0,0.875
2000-01-19,0.0,2.0,1.042
2000-01-20,0.0,2.0,0.833
2000-01-21,0.0,1.0,0.875
2000-01-22,0.0,2.0,0.917
2000-01-23,0.0,1.0,0.917
2000-01-24,0.0,1.0,0.75
2000-01-25,0.0,1.0,0.875
2000-01-26,0.0,1.0,0.708
2000-01-27,0.0,1.0,0.667
2000-01-28,0.0,1.0,0.25
2000-01-29,-1.0,1.0,0.5
2000-01-30,0.0,1.0,0.542
2000-01-31,-2.0,1.0,0.083
2000-02-01,-1.0,1.0,0.333
2000-02-02,-1.0,2.0,0.381
2000-02-03,0.0,2.0,0.375
2000-02-04,-2.0,1.0,0.042
2000-02-05,-1.0,1.0,0.375
2000-02-06,0.0,1.0,0.25
2000-02-07,0.0,1.0,0.375
2000-02-08,-1.0,2.0,0.167
2000-02-09,-1.0,2.0,0.292
2000-02-10,-1.0,1.0,0.125
2000-02-11,-2.0,1.0,0.292
2000-02-12,0.0,1.0,0.417
2000-02-13,-1.0,1.0,-0.042
2000-02-14,-1.0,1.0,-0.042
2000-02-15,-1.0,0.0,-0.167
2000-02-16,-1.0,0.0,-0.125
2000-02-17,-1.0,1.0,0.0
2000-02-18,-1.0,0.0,-0.25
2000-02-19,-1.0,1.0,-0.125
2000-02-20,-1.0,0.0,-0.25
2000-02-21,-1.0,1.0,0.042
2000-02-22,-1.0,1.0,0.0
2000-02-23,-1.0,1.0,-0.042
2000-02-24,-1.0,1.0,0.0
2000-02-25,-1.0,1.0,-0.167
2000-02-26,-1.0,1.0,0.048
2000-02-27,-1.0,4.0,1.167
2000-02-28,-1.0,1.0,0.042
2000-02-29,0.0,1.0,0.067
2000-03-01,-1.0,0.0,-0.267
2000-03-02,0.0,1.0,0.042
2000-03-03,-1.0,0.0,-0.083
2000-03-04,-1.0,0.0,-0.125
2000-03-05,-1.0,0.0,-0.25
2000-03-06,-1.0,0.0,-0.208
2000-03-07,-1.0,0.0,-0.208
2000-03-08,-1.0,0.0,-0.25
2000-03-09,-1.0,0.0,-0.208
2000-03-10,-1.0,0.0,-0.292
2000-03-11,-1.0,1.0,-0.208
2000-03-12,-1.0,0.0,-0.25
2000-03-13,-1.0,1.0,-0.125
2000-03-14,-1.0,2.0,-0.042
2000-03-15,-1.0,0.0,-0.292
2000-03-16,-2.0,0.0,-0.125
2000-03-17,-1.0,0.0,-0.083
2000-03-18,-1.0,1.0,0.0
2000-03-19,-2.0,0.0,-0.458
2000-03-20,-1.0,0.0,-0.125
2000-03-21,-1.0,0.0,-0.042
2000-03-22,-1.0,0.0,-0.083
2000-03-23,-1.0,0.0,-0.167
2000-03-24,-1.0,0.0,-0.167
2000-03-25,-1.0,0.0,-0.208
2000-03-26,-1.0,0.0,-0.417
2000-03-27,0.0,0.0,0.0
2000-03-28,-1.0,0.0,-0.25
2000-03-29,-1.0,0.0,-0.208
2000-03-30,-1.0,0.0,-0.048
2000-03-31,-2.0,0.0,-0.5
2000-04-01,-2.0,0.0,-0.75
2000-04-02,-2.0,0.0,-0.458
2000-04-03,-1.0,0.0,-0.5
2000-04-04,-1.0,0.0,-0.5
2000-04-05,-1.0,0.0,-0.208
2000-04-06,-1.0,0.0,-0.25
2000-04-07,-3.0,0.0,-0.542
2000-04-08,-2.0,0.0,-0.5
2000-04-09,-1.0,0.0,-0.25
2000-04-10,-1.0,1.0,-0.125
2000-04-11,-1.0,0.0,-0.208
2000-04-12,-1.0,0.0,-0.125
2000-04-13,-1.0,1.0,0.083
2000-04-14,-1.0,0.0,-0.125
2000-04-15,-1.0,1.0,-0.333
2000-04-16,-1.0,0.0,-0.667
2000-04-17,-1.0,0.0,-0.458
2000-04-18,-1.0,0.0,-0.417
2000-04-19,-1.0,0.0,-0.208
2000-04-20,-1.0,0.0,-0.208
2000-04-21,-1.0,0.0,-0.333
2000-04-22,-1.0,0.0,-0.292
2000-04-23,-1.0,0.0,-0.375
2000-04-24,-1.0,0.0,-0.208
2000-04-25,-1.0,0.0,-0.125
2000-04-26,-1.0,0.0,-0.125
2000-04-27,-1.0,0.0,-0.208
2000-04-28,-1.0,0.0,-0.208
2000-04-29,-1.0,0.0,-0.25
2000-04-30,-1.0,1.0,-0.125
2000-05-01,-1.0,2.0,0.042
2000-05-02,-1.0,1.0,-0.042
2000-05-03,-3.0,0.0,-1.0
2000-05-04,-1.0,1.0,-0.381
2000-05-05,-1.0,1.0,-0.125
2000-05-06,-1.0,0.0,-0.208
2000-05-07,-2.0,0.0,-0.333
2000-05-08,-1.0,0.0,-0.125
2000-05-09,-1.0,0.0,-0.25
2000-05-10,-1.0,0.0,-0.25
2000-05-11,-1.0,1.0,-0.042
2000-05-12,-1.0,0.0,-0.125
2000-05-13,-1.0,0.0,-0.042
2000-05-14,-1.0,0.0,-0.292
2000-05-15,-1.0,0.0,-0.042
2000-05-16,-1.0,0.0,-0.417
2000-05-17,-2.0,0.0,-0.417
2000-05-18,0.0,0.0,0.0
2000-05-19,0.0,0.0,0.0
2000-05-20,0.0,0.0,0.0
2000-05-21,-1.0,0.0,-0.083
2000-05-22,0.0,0.0,0.0
2000-05-23,-1.0,0.0,-0.083
2000-05-24,0.0,12.0,4.292
2000-05-25,10.0,60.0,34.875
